sku,name,category,price,stock,supplier
SKU001,Widget Alpha,Electronics,29.99,100,SupplierX
SKU002,Gadget Beta,Electronics,49.99,50,SupplierY
SKU003,Doohickey Gamma,Hardware,9.99,200,SupplierZ
SKU004,Thingamajig Delta,Hardware,14.99,75,SupplierX
SKU005,Gizmo Epsilon,Electronics,99.99,25,SupplierY
SKU001,Widget Alpha,Electronics,29.99,100,SupplierX
SKU006,Whatsit Zeta,Accessories,5.99,300,SupplierZ
SKU007,Doohickey Eta,Hardware,12.99,150,SupplierX
SKU008,Contraption Theta,Accessories,19.99,80,SupplierY
SKU009,Apparatus Iota,Electronics,149.99,15,SupplierZ
SKU010,Mechanism Kappa,Hardware,24.99,60,SupplierX
SKU003,Doohickey Gamma,Hardware,9.99,200,SupplierZ
SKU011,Instrument Lambda,Accessories,34.99,40,SupplierY
SKU012,Device Mu,Electronics,79.99,30,SupplierZ
SKU013,Component Nu,Hardware,4.99,500,SupplierX
SKU014,Module Xi,Electronics,199.99,10,SupplierY
SKU015,Unit Omicron,Accessories,8.99,250,SupplierZ
SKU008,Contraption Theta,Accessories,19.99,80,SupplierY
SKU016,Part Pi,Hardware,17.99,120,SupplierX
SKU017,Element Rho,Electronics,59.99,45,SupplierZ
